date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:36	282884/282884	---M--	200	added ('OK')	image/png	etag:%226ef989524e18dc1ef49d170d7bc496ad%22	https://untalexito.com/images/adm.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/adm.png	(from https://untalexito.com/courses.html)
18:24:39	1323194/1323194	---M--	200	added ('OK')	image/jpeg	etag:%223b6be98ec0af354fd822ab9bc7646d24%22	https://untalexito.com/images/IMG_9595.jpg	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/IMG_9595.jpg	(from https://untalexito.com/courses.html)
18:24:39	269298/269298	---M--	200	added ('OK')	image/png	etag:%22c5709cdb80cccc10a1be09fb51a28495%22	https://untalexito.com/images/ma-ed.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/ma-ed.png	(from https://untalexito.com/courses.html)
18:24:39	13950185/13950185	---M--	200	added ('OK')	image/png	etag:%223310a25af866e8f5d40ed50bc40dcacb%22	https://untalexito.com/images/DSC_0625.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/DSC_0625.png	(from https://untalexito.com/)
18:24:40	283085/283085	---M--	200	added ('OK')	image/png	etag:%22f795f9905f6efa2917f260df8cdbc217%22	https://untalexito.com/images/ma-polpub.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/ma-polpub.png	(from https://untalexito.com/courses.html)
18:24:40	279871/279871	---M--	200	added ('OK')	image/png	etag:%222db828c35fe7f46383b5e0094c50a12b%22	https://untalexito.com/images/doctorado.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/doctorado.png	(from https://untalexito.com/courses.html)
18:24:41	115875/115875	---M--	200	added ('OK')	image/png	etag:%22b8b21b00f57956d713f8c8ab86905ab3%22	https://untalexito.com/images/honoris2.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/honoris2.png	(from https://untalexito.com/honoris.html)
18:24:42	37968/37968	---M--	200	added ('OK')	image/jpeg	etag:%226f34a6f98964b45f5b9a3c74df6b7d76%22	https://untalexito.com/images/honoris1.JPG	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/honoris1.JPG	(from https://untalexito.com/honoris.html)
18:24:42	84906/84906	---M--	200	added ('OK')	image/jpeg	etag:%22b1a9b63e35a816df280144c69276c719%22	https://untalexito.com/images/honoris2.JPG	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/honoris2.JPG	(from https://untalexito.com/honoris.html)
18:24:44	1610759/1610759	---M--	200	added ('OK')	image/jpeg	etag:%229aab5e017ab310a822f6a63626c9f171%22	https://untalexito.com/images/IMG_9256.jpg	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/IMG_9256.jpg	(from https://untalexito.com/contact.html)
18:24:45	60733/60733	---M--	200	added ('OK')	image/jpeg	etag:%2292f5e5fc31d929dc2394d0086cad5e57%22	https://untalexito.com/images/honoeis4.JPG	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/honoeis4.JPG	(from https://untalexito.com/honoris.html)
18:24:46	70334/70334	---M--	200	added ('OK')	image/jpeg	etag:%2238eeebbee432de5e38d2d376ff3f3eac%22	https://untalexito.com/images/honoris3.JPG	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/honoris3.JPG	(from https://untalexito.com/honoris.html)
18:24:46	2255047/2255047	---M--	200	added ('OK')	image/png	etag:%228468be0c0a1b4c65720c4ad23e68d1ca%22	https://untalexito.com/images/My%20project1.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/My%20project1.png	(from https://untalexito.com/courses.html)
18:24:46	60793/60793	---M--	200	added ('OK')	image/jpeg	etag:%22c600beb8ffe4773dfe30fb9016215eab%22	https://untalexito.com/images/honoris5.JPG	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/honoris5.JPG	(from https://untalexito.com/honoris.html)
18:24:47	60787/60787	---M--	200	added ('OK')	image/jpeg	etag:%223876086908c13cf5778969329ea9cd21%22	https://untalexito.com/images/honoris6.JPG	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/honoris6.JPG	(from https://untalexito.com/honoris.html)
18:24:47	109971/109971	---M--	200	added ('OK')	image/jpeg	etag:%22dd880e5f3f626847e2dffe817415c872%22	https://untalexito.com/images/honoris7.JPG	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/honoris7.JPG	(from https://untalexito.com/honoris.html)
18:24:49	118570/118570	---M--	200	added ('OK')	image/jpeg	etag:%226a255a39c01fd84af5bb9df0e1d3c09a%22	https://untalexito.com/images/honoris8.JPG	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/honoris8.JPG	(from https://untalexito.com/honoris.html)
18:24:49	198689/198689	---M--	200	added ('OK')	image/jpeg	etag:%2207f69be152ef03887480a0e5f2f9e733%22	https://untalexito.com/images/hooris11.JPG	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/hooris11.JPG	(from https://untalexito.com/honoris.html)
18:24:50	99000/99000	---M--	200	added ('OK')	image/jpeg	etag:%22dbdffd52b9293727abf108d82d5a3412%22	https://untalexito.com/images/honoris9.JPG	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/honoris9.JPG	(from https://untalexito.com/honoris.html)
18:24:50	67936/67936	---M--	200	added ('OK')	image/jpeg	etag:%2297d737583aa52c3e300c3354ad3090d5%22	https://untalexito.com/images/honoris10.JPG	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/honoris10.JPG	(from https://untalexito.com/honoris.html)
18:24:51	84638/84638	---M--	200	added ('OK')	image/jpeg	etag:%225118f9ed48e7d8c13228bee67ab92903%22	https://untalexito.com/images/honoris12.JPG	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/honoris12.JPG	(from https://untalexito.com/honoris.html)
